ID,DATE_DIFF,GENDER,AGE,COUNTRY
lsw9q7uk0j,3,FEMALE,46.0,US
0d01nltbrs,10,FEMALE,47.0,US
a1vcnhxeij,206,FEMALE,50.0,US
yuuqmid2rp,2,FEMALE,36.0,US
v4d5rl22px,1,FEMALE,33.0,CA
gdka1q5ktd,0,FEMALE,29.0,FR
qsibmuz9sx,1,MALE,30.0,US
al8bcetz0g,3,FEMALE,26.0,FR
hfrl5gle36,10,FEMALE,32.0,US
7my0vrljxc,0,FEMALE,31.0,US
k15j7mbny0,2,FEMALE,30.0,US
g1q6caq452,4,FEMALE,44.0,US
fp6ndcm5ak,0,MALE,52.0,US
0xvbruzuzz,1,MALE,35.0,CA
h53mz152m4,7,FEMALE,57.0,FR
b9pzliufcj,1,FEMALE,30.0,US
rxdkzkowt2,4,FEMALE,36.0,US
prqnudhgdx,0,FEMALE,32.0,US
6qx6xl5eho,114,MALE,33.0,US
563m2oiat7,3,FEMALE,46.0,US
wqj8o7gv3y,18,FEMALE,40.0,IT
so9lxma3fv,2,FEMALE,57.0,US
6u9s9pbr5r,3,FEMALE,47.0,US
4ktx9s53w5,156,MALE,34.0,US
dgatsm5ocq,37,FEMALE,69.0,US
2c543qkuic,0,FEMALE,30.0,FR
vlmrt8nr8q,5,FEMALE,29.0,FR
0sjhzy6z9q,0,FEMALE,43.0,US
kbix4dw5bg,2,FEMALE,33.0,US
y7yglrqj4g,8,MALE,39.0,US
jqyog5updf,1,FEMALE,52.0,IT
vol34s7upr,2,MALE,36.0,CA
y2wks1ljcu,0,FEMALE,33.0,GB
mcdh2s9owp,0,MALE,38.0,US
o9sog26g9x,14,FEMALE,46.0,US
dstzfld8qk,1,FEMALE,63.0,US
5ml3i1o90h,2,FEMALE,35.0,US
f5accvka0y,2,MALE,31.0,IT
ju7u7y9bo1,0,MALE,35.0,US
zpfucx0ipa,3,MALE,36.0,US
23czs745fi,1,FEMALE,37.0,US
3qsa4lo7eg,2,FEMALE,5.0,FR
gwtsd4te19,0,MALE,33.0,US
i4edhlimed,21,FEMALE,44.0,US
z4gv6bmyy7,0,FEMALE,35.0,US
fmss7nq5uh,3,FEMALE,39.0,US
l6b51zsk0b,0,FEMALE,45.0,US
sxx8m55bq3,2,MALE,25.0,FR
9pthv2dj2u,0,FEMALE,57.0,US
rqt4fs7tgv,1,MALE,60.0,US
39zddogscp,2,FEMALE,29.0,US
pyce1jzuzo,15,FEMALE,32.0,US
nddgfoqsmc,1,MALE,43.0,US
